StudentID,AVTYPE,Ethnicity,Gender,Age,A.Delta,A.Theta,A.Alpha1,A.Alpha2,A.Beta1,A.Beta2,A.Gamma1.,A.Gamma2,A. Attention,A. Mediation
0,3,Han Chinese,M,25,544319.375,124953.6806,36699.34722,25876.40972,20111.73611,40270,40730.69444,16814.375,55.25694444,53.82638889
0,2,Han Chinese,M,25,739692.8571,161056.5071,34915.15714,25080.21429,22156.72857,37404.77857,36761.1,14520.85714,43.62142857,48.62142857
0,2,Han Chinese,M,25,694419.7183,149828.0282,30487.33099,21664,21887.4507,36451.69014,33909.14789,14547.3169,43.97887324,47.31690141
0,2,Han Chinese,M,25,600810.4098,162644.4262,33369.06557,26272.62295,17213.95082,43703.93443,41420.65574,16563.44262,51.05737705,51.8442623
0,2,Han Chinese,M,25,546538.5345,126886.3793,23111.37931,17019.93103,15958.55172,36428.01724,36026.12069,14759.5431,55.22413793,47.47413793
0,3,Han Chinese,M,25,935067.4797,282519.5935,70474.01626,40751.11382,28635.58537,41461.86992,54069.26829,22654.69106,49.81300813,41.04878049
0,4,Han Chinese,M,25,785178.4483,212902.2414,35399.17241,24324.31034,19988.2931,30957.84483,30171.72414,14367.22414,33.5862069,44.31034483
0,3,Han Chinese,M,25,478034.0179,114140.5357,25734.57143,16241.35714,15280.9375,37800.33929,36328.57143,13715.82143,48,50.24107143
0,3,Han Chinese,M,25,914397.5806,198885.8065,42276.85484,25930.46774,20326.1371,36780,45423.06452,17553.83065,55.5483871,52.87903226
0,1,Han Chinese,M,25,602329.5082,130768.7705,26436.2623,20617.21311,20125.62295,29251.72131,28182.78689,11690.67213,49.93442623,47.2704918
1,3,Han Chinese,M,24,265933.4429,83328.07143,21732.88571,17171.70714,19313.92857,9349.285714,5577.821429,3927.207143,52.45714286,62.52142857
1,2,Han Chinese,M,24,478514.507,143237.2535,33751.02113,22901.97183,20392.11268,12890.70423,5173.802817,3662.161972,40.09859155,57.92253521
1,2,Han Chinese,M,24,620727.0492,153248.1148,38836.88525,24023.27869,19951.39344,14198.95902,5219.459016,3640.540984,34.72131148,53.82786885
1,2,Han Chinese,M,24,844456.8966,281274.4828,67678.36207,39668.18103,28133.56034,26737.71552,13086.90517,3337.793103,15.90517241,35.56034483
1,2,Han Chinese,M,24,402080,140180.3472,32661.03472,26381.875,24590.55556,15989.6875,10064.01389,7354.229167,46.86805556,59.86111111
1,3,Han Chinese,M,24,324530.3252,92083.57724,24880.81301,22125.43089,18938.23577,14465.77236,8561.430894,7151.243902,63.6504065,58.18699187
1,4,Han Chinese,M,24,323103.2258,93135.24194,24793.98387,16538.66129,14937.3871,10117.31452,4401.080645,2985.814516,46.42741935,63.75806452
1,3,Han Chinese,M,24,405930.1639,112290.7377,27400.13115,21278.77869,21255.56557,12711.43443,8463.213115,5142.762295,52.45901639,60.56557377
1,3,Han Chinese,M,24,358442.2137,88827.32824,24491.37405,19366.99237,17687.40458,10938.93893,5228.748092,4575.793893,51.88549618,61.77862595
1,1,Han Chinese,M,24,319977.2263,87992.9927,25624.0146,21978.46715,22297.9562,10123.67883,5109.116788,3392.883212,48.35036496,62.32846715
2,3,English,M,31,14241.28571,14057.92857,5974.678571,6495.05,5498.5,6129.357143,3284.042857,2812.171429,61.00714286,53.34285714
2,2,English,M,31,37940.98592,17893.52113,7906.147887,9252.373239,6136.774648,7156.408451,3491.816901,2496.394366,56.78169014,60.07746479
2,2,English,M,31,27657.54098,17315,6714.565574,8158.42623,5925.5,6037.95082,2918.311475,2150.5,60.80327869,66.18852459
2,2,English,M,31,17213.56034,15317.5,6635.663793,6402.603448,5858.198276,5188.913793,2585.396552,1771.87069,42.5,62.94827586
2,2,English,M,31,29408.31944,18574.23611,8593.388889,11370.13889,12804.23611,17147.63889,10424.30556,7326.527778,65.27083333,60.99305556
2,3,English,M,31,96992.34146,38511.13821,13143.06504,11527.88618,15240.65041,12904.55285,8438.861789,6481.430894,77.02439024,64.88617886
2,4,English,M,31,17128.44828,12018.96552,5663.387931,6347.241379,5866.37931,6265.344828,2703.017241,2365.008621,55.68965517,55.73275862
2,3,English,M,31,103404.0619,23207.07965,9704.840708,9016.371681,10104.0708,10384.95575,6220.884956,5256.690265,43.18584071,61.63716814
2,3,English,M,31,31059.16031,19112.1374,6373.969466,6282.725191,6249.022901,6470.167939,3251.916031,2629.022901,52.85496183,58.54198473
2,1,English,M,31,30099.86861,17548.24818,7318.839416,7276.890511,6116.416058,5714.613139,2496.919708,2083.613139,42.17518248,65.05109489
3,3,Han Chinese,F,28,833717.8571,238808.0714,61259.4,52686.47857,23405.17857,38551.57143,24675.43571,3520.935714,33.81428571,47.65
3,2,Han Chinese,F,28,529537.3239,151048.8732,35183.19718,21494.64789,16559.94366,13144.29577,7771.140845,5082.28169,62.45774648,55.21830986
3,2,Han Chinese,F,28,655737.7586,132964.6552,27530.46552,19946,15396,14290.10345,7594.525862,4699.62069,62.20689655,51.30172414
3,2,Han Chinese,F,28,679519.6528,132346.9444,42892.00694,23473.16667,14491.24306,51325.97917,13870.30556,1893.993056,0,0
